name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway,VDF_fftt1
South Farmer Avenue,303,305490063,12,11,,106.8699663,1,25,,residential,6,"LINESTRING (-111.944241 33.4168222, -111.9442432 33.4172052, -111.9442439 33.4177833)",auto,1,0.256487919
South Farmer Avenue,304,305490063,12,13,,83.88547857,1,25,,residential,6,"LINESTRING (-111.944241 33.4168222, -111.9442407 33.4165478, -111.9442405 33.4163013, -111.9442404 33.4162081, -111.9442403 33.4160678)",auto,1,0.201325149
South Farmer Avenue,305,305490063,13,12,,83.88547857,1,25,,residential,6,"LINESTRING (-111.9442403 33.4160678, -111.9442404 33.4162081, -111.9442405 33.4163013, -111.9442407 33.4165478, -111.944241 33.4168222)",auto,1,0.201325149
South Farmer Avenue,306,305490063,13,406,,118.7341517,1,25,,residential,6,"LINESTRING (-111.9442403 33.4160678, -111.9442386 33.4153056, -111.9442379 33.415)",auto,1,0.284961964
South Farmer Avenue,307,305490063,406,13,,118.7341517,1,25,,residential,6,"LINESTRING (-111.9442379 33.415, -111.9442386 33.4153056, -111.9442403 33.4160678)",auto,1,0.284961964
South Farmer Avenue,308,305490064,1,2,,42.41343824,1,29,,tertiary,5,"LINESTRING (-111.9442567 33.4295155, -111.9442632 33.4293622, -111.9442672 33.4292694, -111.9442868 33.4292012, -111.9443252 33.4291446)",auto,1,0.087751941
South Farmer Avenue,309,305490064,2,1,,42.41343824,1,29,,tertiary,5,"LINESTRING (-111.9443252 33.4291446, -111.9442868 33.4292012, -111.9442672 33.4292694, -111.9442632 33.4293622, -111.9442567 33.4295155)",auto,1,0.087751941
West 3rd Street,310,305490066,142,47,,9.707070837,1,25,,residential,6,"LINESTRING (-111.9399633 33.4273851, -111.9400185 33.427385, -111.9400679 33.4273849)",auto,1,0.02329697
West 3rd Street,311,305490066,47,142,,9.707070837,1,25,,residential,6,"LINESTRING (-111.9400679 33.4273849, -111.9400185 33.427385, -111.9399633 33.4273851)",auto,1,0.02329697
West 3rd Street,312,305490066,47,30,,255.3631484,1,25,,residential,6,"LINESTRING (-111.9400679 33.4273849, -111.940159 33.4273839, -111.941512 33.4273775, -111.9420474 33.4273706, -111.9422487 33.4273804, -111.942421 33.4274122, -111.9425921 33.4274644, -111.9426753 33.4274993, -111.9427719 33.4275569)",auto,1,0.612871556
West 3rd Street,313,305490066,30,47,,255.3631484,1,25,,residential,6,"LINESTRING (-111.9427719 33.4275569, -111.9426753 33.4274993, -111.9425921 33.4274644, -111.942421 33.4274122, -111.9422487 33.4273804, -111.9420474 33.4273706, -111.941512 33.4273775, -111.940159 33.4273839, -111.9400679 33.4273849)",auto,1,0.612871556
South Farmer Avenue,314,323157924,407,192,,111.8801842,1,29,,residential,6,"LINESTRING (-111.945 33.4264311, -111.9447027 33.4264321, -111.944657 33.426483, -111.9446461 33.4268521, -111.9446243 33.4268812, -111.9445197 33.4268885, -111.9442762 33.426894)",auto,1,0.231476243
